Date,S&P 500,NASDAQ,TSLA,MSFT,NVDA,AMZN,GOOGL,META,V,AAPL
2024-01-02,4742.830078125,14765.9404296875,248.4199981689453,370.8699951171875,48.167999267578125,149.92999267578125,138.1699981689453,346.2900085449219,258.8699951171875,185.63999938964844
2024-01-03,4704.81005859375,14592.2099609375,238.4499969482422,370.6000061035156,47.569000244140625,148.47000122070312,138.9199981689453,344.4700012207031,257.9800109863281,184.25
2024-01-04,4688.68017578125,14510.2998046875,237.92999267578125,367.94000244140625,47.99800109863281,144.57000732421875,136.38999938964844,347.1199951171875,259.6099853515625,181.91000366210938
2024-01-05,4697.240234375,14524.0703125,237.49000549316406,367.75,49.09700012207031,145.24000549316406,135.72999572753906,351.95001220703125,259.69000244140625,181.17999267578125
2024-01-08,4763.5400390625,14843.76953125,240.4499969482422,374.69000244140625,52.25299835205078,149.10000610351562,138.83999633789062,358.6600036621094,262.5400085449219,185.55999755859375
2024-01-09,4756.5,14857.7099609375,234.9600067138672,375.7900085449219,53.13999938964844,151.3699951171875,140.9499969482422,357.42999267578125,263.3299865722656,185.13999938964844
2024-01-10,4783.4501953125,14969.650390625,233.94000244140625,382.7699890136719,54.349998474121094,153.72999572753906,142.27999877929688,370.4700012207031,264.55999755859375,186.19000244140625
2024-01-11,4780.240234375,14970.1904296875,227.22000122070312,384.6300048828125,54.821998596191406,155.17999267578125,142.0800018310547,369.6700134277344,264.0299987792969,185.58999633789062
2024-01-12,4783.830078125,14972.759765625,218.88999938964844,388.4700012207031,54.709999084472656,154.6199951171875,142.64999389648438,374.489990234375,264.1700134277344,185.9199981689453
2024-01-16,4765.97998046875,14944.349609375,219.91000366210938,390.2699890136719,56.38199996948242,153.16000366210938,142.49000549316406,367.4599914550781,265.239990234375,183.6300048828125
2024-01-17,4739.2099609375,14855.6201171875,215.5500030517578,389.4700012207031,56.053001403808594,151.7100067138672,141.47000122070312,368.3699951171875,266.6300048828125,182.67999267578125
2024-01-18,4780.93994140625,15055.650390625,211.8800048828125,393.8699951171875,57.106998443603516,153.5,143.47999572753906,376.1300048828125,268.1400146484375,188.6300048828125
2024-01-19,4839.81005859375,15310.9697265625,212.19000244140625,398.6700134277344,59.49100112915039,155.33999633789062,146.3800048828125,383.45001220703125,270.8999938964844,191.55999755859375
2024-01-22,4850.43017578125,15360.2900390625,208.8000030517578,396.510009765625,59.65399932861328,154.77999877929688,145.99000549316406,381.7799987792969,271.20001220703125,193.88999938964844
2024-01-23,4864.60009765625,15425.9404296875,209.13999938964844,398.8999938964844,59.87300109863281,156.02000427246094,147.0399932861328,385.20001220703125,271.260009765625,195.17999267578125
2024-01-24,4868.5498046875,15481.919921875,207.8300018310547,402.55999755859375,61.36199951171875,156.8699951171875,148.6999969482422,390.70001220703125,271.6499938964844,194.5
2024-01-25,4894.16015625,15510.5,182.6300048828125,404.8699951171875,61.617000579833984,157.75,151.8699951171875,393.17999267578125,272.6099853515625,194.1699981689453
2024-01-26,4890.97021484375,15455.3603515625,183.25,403.92999267578125,61.03099822998047,159.1199951171875,152.19000244140625,394.1400146484375,267.94000244140625,192.4199981689453
2024-01-29,4927.93017578125,15628.0400390625,190.92999267578125,409.7200012207031,62.46500015258789,161.25999450683594,153.50999450683594,401.0199890136719,273.6600036621094,191.72999572753906
2024-01-30,4924.97021484375,15509.900390625,191.58999633789062,408.5899963378906,62.77399826049805,159.0,151.4600067138672,400.05999755859375,277.1499938964844,188.0399932861328
2024-01-31,4845.64990234375,15164.009765625,187.2899932861328,397.5799865722656,61.527000427246094,155.1999969482422,140.10000610351562,390.1400146484375,273.260009765625,184.39999389648438
2024-02-01,4906.18994140625,15361.6396484375,188.86000061035156,403.7799987792969,63.027000427246094,159.27999877929688,141.16000366210938,394.7799987792969,277.04998779296875,186.86000061035156
2024-02-02,4958.60986328125,15628.9501953125,187.91000366210938,411.2200012207031,66.16000366210938,171.80999755859375,142.3800048828125,474.989990234375,277.17999267578125,185.85000610351562
2024-02-05,4942.81005859375,15597.6796875,181.05999755859375,405.6499938964844,69.33200073242188,170.30999755859375,143.67999267578125,459.4100036621094,275.5799865722656,187.67999267578125
2024-02-06,4954.22998046875,15609.0,185.10000610351562,405.489990234375,68.2229995727539,169.14999389648438,144.10000610351562,454.7200012207031,276.760009765625,189.3000030517578
2024-02-07,4995.06005859375,15756.6396484375,187.5800018310547,414.04998779296875,70.0989990234375,170.52999877929688,145.5399932861328,469.5899963378906,279.3900146484375,189.41000366210938
2024-02-08,4997.91015625,15793.7099609375,189.55999755859375,414.1099853515625,69.64099884033203,169.83999633789062,145.91000366210938,470.0,275.7799987792969,188.32000732421875
2024-02-09,5026.60986328125,15990.66015625,193.57000732421875,420.54998779296875,72.13300323486328,174.4499969482422,149.0,468.1099853515625,276.42999267578125,188.85000610351562
2024-02-12,5021.83984375,15942.5498046875,188.1300048828125,415.260009765625,72.24800109863281,172.33999633789062,147.52999877929688,468.8999938964844,275.07000732421875,187.14999389648438
2024-02-13,4953.169921875,15655.599609375,184.02000427246094,406.32000732421875,72.12799835205078,168.63999938964844,145.13999938964844,460.1199951171875,275.80999755859375,185.0399932861328
2024-02-14,5000.6201171875,15859.150390625,188.7100067138672,409.489990234375,73.9000015258789,170.97999572753906,145.94000244140625,473.2799987792969,277.55999755859375,184.14999389648438
2024-02-15,5029.72998046875,15906.169921875,200.4499969482422,406.55999755859375,72.65799713134766,169.8000030517578,142.77000427246094,484.0299987792969,280.9800109863281,183.86000061035156
2024-02-16,5005.56982421875,15775.650390625,199.9499969482422,404.05999755859375,72.61299896240234,169.50999450683594,140.52000427246094,473.32000732421875,278.55999755859375,182.30999755859375
2024-02-20,4975.509765625,15630.7802734375,193.75999450683594,402.7900085449219,69.4520034790039,167.0800018310547,141.1199951171875,471.75,275.1499938964844,181.55999755859375
2024-02-21,4981.7998046875,15580.8701171875,194.77000427246094,402.17999267578125,67.47200012207031,168.58999633789062,142.5500030517578,468.0299987792969,276.760009765625,182.32000732421875
2024-02-22,5087.02978515625,16041.6201171875,197.41000366210938,411.6499938964844,78.53800201416016,174.5800018310547,144.08999633789062,486.1300048828125,283.75,184.3699951171875
2024-02-23,5088.7998046875,15996.8203125,191.97000122070312,410.3399963378906,78.81700134277344,174.99000549316406,143.9600067138672,484.0299987792969,283.6000061035156,182.52000427246094
2024-02-26,5069.52978515625,15976.25,199.39999389648438,407.5400085449219,79.09200286865234,174.72999572753906,137.57000732421875,481.739990234375,284.1499938964844,181.16000366210938
2024-02-27,5078.18017578125,16035.2998046875,199.72999572753906,407.4800109863281,78.70099639892578,173.5399932861328,138.8800048828125,487.04998779296875,283.1700134277344,182.6300048828125
2024-02-28,5069.759765625,15947.740234375,202.0399932861328,407.7200012207031,77.66300201416016,173.16000366210938,136.3800048828125,484.0199890136719,285.6300048828125,181.4199981689453
2024-02-29,5096.27001953125,16091.919921875,201.8800048828125,413.6400146484375,79.11199951171875,176.75999450683594,138.4600067138672,490.1300048828125,282.6400146484375,180.75
2024-03-01,5137.080078125,16274.9404296875,202.63999938964844,415.5,82.27899932861328,178.22000122070312,137.13999938964844,502.29998779296875,283.1600036621094,179.66000366210938
2024-03-04,5130.9501953125,16207.509765625,188.13999938964844,414.9200134277344,85.23699951171875,177.5800018310547,133.35000610351562,498.19000244140625,280.5299987792969,175.10000610351562
2024-03-05,5078.64990234375,15939.58984375,180.74000549316406,402.6499938964844,85.96399688720703,174.1199951171875,132.6699981689453,490.2200012207031,279.3800048828125,170.1199951171875
2024-03-06,5104.759765625,16031.5400390625,176.5399932861328,402.0899963378906,88.69999694824219,173.50999450683594,131.39999389648438,496.0899963378906,280.42999267578125,169.1199951171875
2024-03-07,5157.35986328125,16273.3798828125,178.64999389648438,409.1400146484375,92.66899871826172,176.82000732421875,134.3800048828125,512.1900024414062,278.260009765625,169.0
2024-03-08,5123.68994140625,16085.1103515625,175.33999633789062,406.2200012207031,87.52799987792969,175.35000610351562,135.41000366210938,505.95001220703125,280.0400085449219,170.72999572753906
2024-03-11,5117.93994140625,16019.26953125,177.77000427246094,404.5199890136719,85.77400207519531,171.9600067138672,137.6699981689453,483.5899963378906,280.55999755859375,172.75
